zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
01014,2015,Post Office or large volume customer,Chicopee,NA,MA,01013,01013
01020,2015,ZIP Code Area,Chicopee,NA,MA,01020,01020
01021,2015,Post Office or large volume customer,Chicopee,NA,MA,01020,01020
01022,2015,ZIP Code Area,Chicopee,NA,MA,01022,01022
01026,2015,ZIP Code Area,Cummington,NA,MA,01026,01026
01027,2015,ZIP Code Area,Easthampton,NA,MA,01027,01027
01028,2015,ZIP Code Area,East Longmeadow,NA,MA,01028,01028
01029,2015,Post Office or large volume customer,East Otis,NA,MA,01253,01029
01030,2015,ZIP Code Area,Feeding Hills,NA,MA,01030,01030
01031,2015,ZIP Code Area,Gilbertville,NA,MA,01031,01031
01032,2015,ZIP Code Area,Goshen,NA,MA,01032,01032
01033,2015,ZIP Code Area,Granby,NA,MA,01033,01033
01034,2015,ZIP Code Area,Granville,NA,MA,01034,01034
01035,2015,ZIP Code Area,Hadley,NA,MA,01035,01035
01036,2015,ZIP Code Area,Hampden,NA,MA,01036,01036
01037,2015,Post Office or large volume customer,Hardwick,NA,MA,01031,01037
01038,2015,ZIP Code Area,Hatfield,NA,MA,01038,01038
01039,2015,ZIP Code Area,Haydenville,NA,MA,01039,01039
01040,2015,ZIP Code Area,Holyoke,NA,MA,01040,01040
01041,2015,Post Office or large volume customer,Holyoke,NA,MA,01040,01040
01050,2015,ZIP Code Area,Huntington,NA,MA,01050,01050
01053,2015,ZIP Code Area,Leeds,NA,MA,01053,01053
01054,2015,ZIP Code Area,Leverett,NA,MA,01054,01054
01056,2015,ZIP Code Area,Ludlow,NA,MA,01056,01056
01057,2015,ZIP Code Area,Monson,NA,MA,01057,01057
01059,2015,Post Office or large volume customer,North Amherst,NA,MA,01002,01002
01060,2015,ZIP Code Area,Northampton,NA,MA,01060,01060
01061,2015,Post Office or large volume customer,Northampton,NA,MA,01060,01060
01062,2015,ZIP Code Area,Florence,NA,MA,01062,01062
01063,2015,ZIP Code Area,Northampton,NA,MA,01063,01063
01066,2015,Post Office or large volume customer,North Hatfield,NA,MA,01088,01066
01068,2015,ZIP Code Area,Oakham,NA,MA,01068,01068
01069,2015,ZIP Code Area,Palmer,NA,MA,01069,01069
01070,2015,ZIP Code Area,Plainfield,NA,MA,01070,01070
01071,2015,ZIP Code Area,Russell,NA,MA,01071,01071
01072,2015,ZIP Code Area,Shutesbury,NA,MA,01072,01072
01073,2015,ZIP Code Area,Southampton,NA,MA,01073,01073
01074,2015,Post Office or large volume customer,South Barre,NA,MA,01005,01074
01075,2015,ZIP Code Area,South Hadley,NA,MA,01075,01075
01077,2015,ZIP Code Area,Southwick,NA,MA,01077,01077
01079,2015,Post Office or large volume customer,Thorndike,NA,MA,01069,01079
01080,2015,ZIP Code Area,Three Rivers,NA,MA,01080,01080
01081,2015,ZIP Code Area,Wales,NA,MA,01081,01081
01082,2015,ZIP Code Area,Ware,NA,MA,01082,01082
01083,2015,Post Office or large volume customer,Warren,NA,MA,01585,01083
01084,2015,ZIP Code Area,West Chesterfield,NA,MA,01084,01084
01085,2015,ZIP Code Area,Westfield,NA,MA,01085,01085
01086,2015,Post Office or large volume customer,Westfield,NA,MA,01085,01086
01088,2015,ZIP Code Area,West Hatfield,NA,MA,01088,01088
01089,2015,ZIP Code Area,West Springfield,NA,MA,01089,01089
01090,2015,Post Office or large volume customer,West Springfield,NA,MA,01089,01089
01092,2015,ZIP Code Area,West Warren,NA,MA,01092,01092
01093,2015,Post Office or large volume customer,Whately,NA,MA,01039,01093
01094,2015,Post Office or large volume customer,Wheelwright,NA,MA,01031,01094
01095,2015,ZIP Code Area,Wilbraham,NA,MA,01095,01095
01096,2015,ZIP Code Area,Williamsburg,NA,MA,01096,01096
01097,2015,Post Office or large volume customer,Woronoco,NA,MA,01085,01097
01098,2015,ZIP Code Area,Worthington,NA,MA,01098,01098
01101,2015,Post Office or large volume customer,Springfield,NA,MA,01103,01103
01102,2015,Post Office or large volume customer,Springfield,NA,MA,01103,01103
01103,2015,ZIP Code Area,Springfield,NA,MA,01103,01103
01104,2015,ZIP Code Area,Springfield,NA,MA,01104,01104
01105,2015,ZIP Code Area,Springfield,NA,MA,01105,01105
01106,2015,ZIP Code Area,Longmeadow,NA,MA,01106,01106
01107,2015,ZIP Code Area,Springfield,NA,MA,01107,01107
01108,2015,ZIP Code Area,Springfield,NA,MA,01108,01108
01109,2015,ZIP Code Area,Springfield,NA,MA,01109,01109
01111,2015,Post Office or large volume customer,Springfield,NA,MA,01109,01109
01115,2015,Post Office or large volume customer,Springfield,NA,MA,01103,01103
01116,2015,Post Office or large volume customer,Longmeadow,NA,MA,01106,01106
01118,2015,ZIP Code Area,Springfield,NA,MA,01118,01118
01119,2015,ZIP Code Area,Springfield,NA,MA,01119,01119
01128,2015,ZIP Code Area,Springfield,NA,MA,01128,01128
01129,2015,ZIP Code Area,Springfield,NA,MA,01129,01129
01138,2015,Post Office or large volume customer,Springfield,NA,MA,01108,01108
01139,2015,Post Office or large volume customer,Springfield,NA,MA,01109,01109
01144,2015,Post Office or large volume customer,Springfield,NA,MA,01103,01103
01151,2015,ZIP Code Area,Indian Orchard,NA,MA,01151,01151
01152,2015,Post Office or large volume customer,Springfield,NA,MA,01151,01151
01199,2015,Post Office or large volume customer,Springfield,NA,MA,01105,01199
